cust_id,f_name,l_name,ph_no,cust_dob
64,Odessa,Mohr,1-561-998-6324 x07966,2006-12-04
65,Adolph,Kuhic,977-670-3156,1955-02-01
66,Jon,Waters,(675) 527-8066,1945-07-07
67,Dulce,Rath,701.275.5832,1957-06-08
68,Shane,Reichert,689.774.6218 x51908,2007-08-12
69,Dominique,Gulgowski,471.553.3634 x5408,1960-03-19
70,Bianka,Dooley,1-842-893-0559,1967-06-03
71,Darien,Gottlieb,(353) 415-3615,1965-07-25
72,Jazmyn,Runte,(941) 508-9055 x32113,1979-04-27
73,Colleen,Hoppe,565-563-5256 x96159,1957-02-06
74,Mavis,Denesik,547.571.7555 x449,1998-08-23
75,Marcos,Schulist,1-455-845-6813 x9537,1994-04-16
76,Shany,Herzog,645-567-2467,1957-03-15
77,Cristal,Doyle,668-237-6755 x58400,2011-01-19
78,Evan,Wyman,489-566-4044,1955-01-21
79,Tavares,Cormier,973.688.6156,1997-01-04
80,Carey,Feest,389.338.6046 x899,1979-01-10
81,Marlin,Kovacek,(710) 913-3673 x37384,1948-03-23
82,Mateo,Doyle,614-754-2765 x738,1967-07-21
83,Bruce,Deckow,1-671-510-6343,1987-06-24
84,Lewis,Lebsack,1-885-831-7893,1987-03-20
85,Golda,Skiles,854.858.6709,2014-02-19
86,Maye,Prohaska,232.835.9202 x51134,1969-08-28
87,Peter,Leannon,288-890-0161 x627,1986-11-27
88,Toy,Hodkiewicz,346.718.2030 x55644,1992-06-08
89,Megane,Tremblay,1-407-975-5777 x10976,2018-04-03
90,Larissa,Grant,366.337.8936,2009-08-23
91,Isaac,Will,283.455.9855 x46305,1943-09-04
92,Broderick,Reichert,333-535-6621 x0504,1946-02-05
93,Nels,Lindgren,(907) 387-6079 x4093,1944-03-22
94,Hettie,Smith,1-491-671-0596 x58490,2013-08-04
95,Emmett,Miller,508-502-3557 x960,1992-04-28
96,Bertrand,Cole,780.465.4281,1951-06-26
97,Giles,Glover,692.702.1742 x0544,1955-03-22
98,Hosea,Reilly,725.373.3892 x9676,1958-10-14
99,Adrian,Kuhn,881.328.8966,1994-07-11
100,Naomie,Gislason,501-568-7829 x6483,1947-08-18
101,Ramesh,Kumar,387383283282,2002-03-12
